codigo_siniestro,codigo_vehiculo,codigo_persona,departamento,provincia,distrito,tipo_persona,gravedad,lugar_atencionlesionado,lugar_de_defuncion,situacionde_persona,pais_de_nacionalidad,edad,sexo,posee_licencia,estado_licencia,clase_licencia,se_sometio_a_dosaje_etilico_cualitativo,resultado_del_dosaje_etilico_cualitativo,se_sometio_a_dosaje_etilico_cuantitativo,vehiculo,fecha,ano,mes,dia,hora,clase_de_siniestro,causa,causa_especifica,tipo_de_via,codigo_de_carretera,red_vial
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-1,LIMA,LIMA,PACHACAMAC,CONDUCTOR,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,28,MASCULINO,SI,VIGENTE,B II C,SI,POSITIVO,SI,TRIMOTO PASAJERO,01/01/2021,2021,ENERO,VIERNES,5,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-2,LIMA,LIMA,PACHACAMAC,PASAJERO,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,25,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,POSITIVO,NO,TRIMOTO PASAJERO,01/01/2021,2021,ENERO,VIERNES,5,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-3,LIMA,LIMA,PACHACAMAC,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,0,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,TRIMOTO PASAJERO,01/01/2021,2021,ENERO,VIERNES,5,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-248,V-2021-01-248-1,P-2021-01-248-1-4,LIMA,LIMA,PACHACAMAC,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,64,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,TRIMOTO PASAJERO,01/01/2021,2021,ENERO,VIERNES,5,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-254,V-2021-01-254-1,P-2021-01-254-1-1,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,CONDUCTOR,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,VENEZUELA,30,MASCULINO,SI,NO REGISTRA,OTRO,SI,POSITIVO,SI,MOTOCICLETA,01/01/2021,2021,ENERO,VIERNES,14,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-254,V-2021-01-254-1,P-2021-01-254-1-2,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,16,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,MOTOCICLETA,01/01/2021,2021,ENERO,VIERNES,14,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-258,V-2021-01-258-1,P-2021-01-258-1-1,LIMA,LIMA,VILLA EL SALVADOR,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,VENEZUELA,,MASCULINO,,FUGADO,FUGADO,NO,POSITIVO,NO,VEHICULO NO IDENTIFICADO,03/01/2021,2021,ENERO,DOMINGO,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-258,V-2021-01-258-1,P-2021-01-258-1-2,LIMA,LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,NO IDENTIFICADO,PERÚ,,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,,,,VEHICULO NO IDENTIFICADO,03/01/2021,2021,ENERO,DOMINGO,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-260,V-2021-01-260-1,P-2021-01-260-1-1,LIMA,LIMA,ATE,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,23,MASCULINO,SI,VIGENTE,B II C,NO,,NO,MOTOCICLETA,04/01/2021,2021,ENERO,LUNES,1,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-260,V-2021-01-260-1,P-2021-01-260-1-2,LIMA,LIMA,ATE,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,26,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,MOTOCICLETA,04/01/2021,2021,ENERO,LUNES,1,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),AVENIDA,NO CORRESPONDE,URBANO
