codigo_siniestro,fecha_siniestro,hora_siniestro,clase_siniestro,cantidad_de_fallecidos,cantidad_de_lesionados,cantidad_de_vehiculos_danados,departamento,provincia,distrito,zona,tipo_de_via,red_vial,cod_carretera,coordenadas_latitud,coordenadas_longitud,condicionclimatica,zonificacion,caracteristicas_de_via,perfil_longitudinal_via,superficie_de_calzada,existe_senal_vertical,clasificacionde_la_senal_vertical_no_1,clasificacionde_la_senal_vertical_no_2,existe_senal_horizontal,causa_factor_principal,causa_especifica
A-2021-01-248,2021-01-01,05:45,DESPISTE,1,3,0.0,LIMA,LIMA,PACHACAMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.2294,-76.859412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-254,2021-01-01,14:00,ATROPELLO,1,1,0.0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.164406,-76.953426,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-258,2021-01-03,00:35,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,NACIONAL,PE-1S,-12.225604,-76.971698,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-260,2021-01-04,01:35,ATROPELLO,1,0,0.0,LIMA,LIMA,ATE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.026010259318932,-76.91912179578782,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-262,2021-01-06,20:40,CHOQUE,2,0,0.0,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.173039,-76.995706,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-264,2021-01-09,10:00,DESPISTE,1,0,0.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.980617,-77.012747,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2021-01-265,2021-01-11,09:20,DESPISTE,1,0,0.0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.1622,-76.943612,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-267,2021-01-14,01:10,VOLCADURA,1,0,,LIMA,LIMA,LURIN,URBANA,OTRO,URBANO,NO CORRESPONDE,-12.252695,-76.898016,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-266,2021-01-14,06:00,ATROPELLO,1,0,,LIMA,LIMA,SANTA ANITA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0436,-76.971412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-01-269,2021-01-16,18:30,DESPISTE,1,1,0.0,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.9575,-77.049211,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-392,2021-01-16,19:45,ATROPELLO,1,1,1.0,CALLAO,CALLAO,LA PERLA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.064691074671408,-77.11554660204865,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-129,2021-01-17,08:00,CAÍDA DE PASAJERO,1,0,0.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-12.05437213181773,-77.14261674714892,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
