codigo_siniestro,codigo_vehiculo,departamento,provincia,distrito,situacionvehiculo,estado_modalidad,modalidad_de_transporte,elemento_transportado,ambito_servicio,posee_seguro,estado_soat,tipo_seguro,compania_seguro,posee_citv,estado_citv,vehiculo,tipo_siniestro,fecha,ano,mes,dia,hora,codigo_de_carretera,tipo_de_via
A-2021-01-248,V-2021-01-248-1,LIMA,LIMA,PACHACAMAC,IDENTIFICADO,NO CORRESPONDE,SERVICIO ESPECIAL DE PASAJEROS,,,,NO REGISTRA,,,,NO REGISTRA,TRIMOTO PASAJERO,DESPISTE,01/01/2021,2021,ENERO,VIERNES,5,NO CORRESPONDE,AVENIDA
A-2021-01-254,V-2021-01-254-1,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,SOAT,LA POSITIVA,,NO REGISTRA,MOTOCICLETA,ATROPELLO,01/01/2021,2021,ENERO,VIERNES,14,NO CORRESPONDE,AVENIDA
A-2021-01-258,V-2021-01-258-1,LIMA,LIMA,VILLA EL SALVADOR,FUGADO,NO CORRESPONDE,OTRO,,,,NO APLICA,,NO APLICA,,NO APLICA,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,03/01/2021,2021,ENERO,DOMINGO,0,PE-1S,CARRETERA
A-2021-01-260,V-2021-01-260-1,LIMA,LIMA,ATE,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,SOAT,LA POSITIVA,,NO REGISTRA,MOTOCICLETA,ATROPELLO,04/01/2021,2021,ENERO,LUNES,1,NO CORRESPONDE,AVENIDA
A-2021-01-262,V-2021-01-262-1,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,SOAT,PACIFICO,,VIGENTE,AUTOMÓVIL,CHOQUE,06/01/2021,2021,ENERO,MIÉRCOLES,20,NO CORRESPONDE,AVENIDA
A-2021-01-262,V-2021-01-262-2,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,SOAT,CRECER SEGUROS,,NO REGISTRA,MOTOCICLETA,CHOQUE,06/01/2021,2021,ENERO,MIÉRCOLES,20,NO CORRESPONDE,AVENIDA
A-2021-01-264,V-2021-01-264-1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,SEMIREMOLQUE,DESPISTE,09/01/2021,2021,ENERO,SÁBADO,10,NO CORRESPONDE,AVENIDA
A-2021-01-265,V-2021-01-265-1,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,SOAT,INTERSEGURO,,VIGENTE,CAMIONETA RURAL,DESPISTE,11/01/2021,2021,ENERO,LUNES,9,NO CORRESPONDE,AVENIDA
A-2021-01-267,V-2021-01-267-1,LIMA,LIMA,LURIN,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO REGISTRA,MOTOCICLETA,VOLCADURA,14/01/2021,2021,ENERO,JUEVES,1,NO CORRESPONDE,OTRO
A-2021-01-267,V-2021-01-267-2,LIMA,LIMA,LURIN,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO REGISTRA,CAMIÓN,VOLCADURA,14/01/2021,2021,ENERO,JUEVES,1,NO CORRESPONDE,OTRO
