codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2021-01-129,P-2021-01-129-1-1,CONDUCTOR,ILESO,MASCULINO,25,REMOLCADOR-SEMIREMOLQUE
A-2021-01-129,P-2021-01-129-1-2,PASAJERO,FALLECIDO,MASCULINO,29,REMOLCADOR-SEMIREMOLQUE
A-2021-01-195,P-2021-01-195-1-1,CONDUCTOR,ILESO,MASCULINO,34,ÓMNIBUS
A-2021-01-195,P-2021-01-195-2-1,CONDUCTOR,FALLECIDO,MASCULINO,10,BICICLETA
A-2021-01-248,P-2021-01-248-1-1,CONDUCTOR,LESIONADO,MASCULINO,28,TRIMOTO PASAJERO
A-2021-01-248,P-2021-01-248-1-2,PASAJERO,FALLECIDO,FEMENINO,25,TRIMOTO PASAJERO
A-2021-01-248,P-2021-01-248-1-3,PASAJERO,LESIONADO,MASCULINO,0,TRIMOTO PASAJERO
A-2021-01-248,P-2021-01-248-1-4,PASAJERO,LESIONADO,MASCULINO,64,TRIMOTO PASAJERO
A-2021-01-254,P-2021-01-254-1-1,CONDUCTOR,LESIONADO,MASCULINO,30,MOTOCICLETA
A-2021-01-254,P-2021-01-254-1-2,PEATÓN,FALLECIDO,MASCULINO,16,MOTOCICLETA
A-2021-01-258,P-2021-01-258-1-1,CONDUCTOR FUGADO,NO SE CONOCE,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2021-01-258,P-2021-01-258-1-2,PEATÓN,FALLECIDO,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2021-01-260,P-2021-01-260-1-1,CONDUCTOR,ILESO,MASCULINO,23,MOTOCICLETA
A-2021-01-260,P-2021-01-260-1-2,PEATÓN,FALLECIDO,MASCULINO,26,MOTOCICLETA
A-2021-01-262,P-2021-01-262-1-1,CONDUCTOR,ILESO,MASCULINO,26,AUTOMÓVIL
A-2021-01-262,P-2021-01-262-1-2,PASAJERO,FALLECIDO,FEMENINO,19,AUTOMÓVIL
A-2021-01-262,P-2021-01-262-2-1,CONDUCTOR,FALLECIDO,FEMENINO,31,MOTOCICLETA
A-2021-01-264,P-2021-01-264-1-1,CONDUCTOR,FALLECIDO,MASCULINO,41,SEMIREMOLQUE
A-2021-01-265,P-2021-01-265-1-1,CONDUCTOR,FALLECIDO,MASCULINO,64,CAMIONETA RURAL
A-2021-01-266,P-2021-01-266-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,35,CAMIONETA PICK UP
A-2021-01-266,P-2021-01-266-1-2,PEATÓN,FALLECIDO,MASCULINO,60,CAMIONETA PICK UP
A-2021-01-267,P-2021-01-267-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,32,MOTOCICLETA
A-2021-01-267,P-2021-01-267-1-2,PASAJERO,FALLECIDO,MASCULINO,22,MOTOCICLETA
A-2021-01-267,P-2021-01-267-2-1,CONDUCTOR,NO SE CONOCE,MASCULINO,35,CAMIÓN
A-2021-01-269,P-2021-01-269-1-1,CONDUCTOR,LESIONADO,MASCULINO,21,MOTOCICLETA
A-2021-01-269,P-2021-01-269-1-2,PASAJERO,FALLECIDO,MASCULINO,1,MOTOCICLETA
A-2021-01-270,P-2021-01-270-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,31,ÓMNIBUS
A-2021-01-270,P-2021-01-270-1-2,PASAJERO,FALLECIDO,MASCULINO,36,ÓMNIBUS
A-2021-01-270,P-2021-01-270-1-3,PASAJERO,LESIONADO,FEMENINO,26,ÓMNIBUS
A-2021-01-270,P-2021-01-270-1-4,PASAJERO,LESIONADO,MASCULINO,35,ÓMNIBUS
A-2021-01-270,P-2021-01-270-1-5,PASAJERO,LESIONADO,MASCULINO,13,ÓMNIBUS
A-2021-01-270,P-2021-01-270-2-1,CONDUCTOR,LESIONADO,MASCULINO,50,CAMIÓN
A-2021-01-271,P-2021-01-271-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,42,MOTOCICLETA
A-2021-01-271,P-2021-01-271-1-2,PEATÓN,FALLECIDO,MASCULINO,68,MOTOCICLETA
A-2021-01-272,P-2021-01-272-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,44,REMOLCADOR-SEMIREMOLQUE
A-2021-01-272,P-2021-01-272-1-2,PEATÓN,FALLECIDO,MASCULINO,31,REMOLCADOR-SEMIREMOLQUE
A-2021-01-273,P-2021-01-273-1-1,CONDUCTOR FUGADO,NO SE CONOCE,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2021-01-273,P-2021-01-273-1-2,PEATÓN,FALLECIDO,FEMENINO,41,VEHICULO NO IDENTIFICADO
A-2021-01-274,P-2021-01-274-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,30,CAMIONETA PICK UP
A-2021-01-274,P-2021-01-274-2-1,CONDUCTOR,NO SE CONOCE,MASCULINO,18,TRIMOTO PASAJERO
A-2021-01-274,P-2021-01-274-2-2,PASAJERO,FALLECIDO,FEMENINO,73,TRIMOTO PASAJERO
A-2021-01-274,P-2021-01-274-2-3,PASAJERO,LESIONADO,FEMENINO,58,TRIMOTO PASAJERO
A-2021-01-282,P-2021-01-282-1-1,CONDUCTOR,LESIONADO,MASCULINO,46,CAMIÓN
A-2021-01-282,P-2021-01-282-1-2,PASAJERO,FALLECIDO,FEMENINO,38,CAMIÓN
A-2021-01-282,P-2021-01-282-2-1,CONDUCTOR FUGADO,NO SE CONOCE,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2021-01-284,P-2021-01-284-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,35,CAMIÓN
A-2021-01-284,P-2021-01-284-2-1,CONDUCTOR,FALLECIDO,MASCULINO,30,BICICLETA
A-2021-01-288,P-2021-01-288-1-1,CONDUCTOR,FALLECIDO,MASCULINO,23,MOTOCICLETA
A-2021-01-288,P-2021-01-288-2-1,CONDUCTOR,NO SE CONOCE,MASCULINO,50,STATION WAGON
A-2021-01-356,P-2021-01-356-1-1,PEATÓN,FALLECIDO,MASCULINO,22,VEHICULO NO IDENTIFICADO
A-2021-01-356,P-2021-01-356-1-2,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-01-381,P-2021-01-381-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,25,ÓMNIBUS
A-2021-01-381,P-2021-01-381-1-2,PEATÓN,FALLECIDO,MASCULINO,57,ÓMNIBUS
A-2021-01-391,P-2021-01-391-1-1,CONDUCTOR,LESIONADO,MASCULINO,38,AUTOMÓVIL
A-2021-01-391,P-2021-01-391-2-1,CONDUCTOR,FALLECIDO,MASCULINO,59,TRICICLO NO MOTORIZADO
A-2021-01-392,P-2021-01-392-1-1,CONDUCTOR,LESIONADO,MASCULINO,27,MOTOCICLETA
A-2021-01-392,P-2021-01-392-1-2,PEATÓN,FALLECIDO,FEMENINO,65,MOTOCICLETA
A-2021-02-124,P-2021-02-124-1-1,CONDUCTOR,ILESO,MASCULINO,42,AUTOMÓVIL
A-2021-02-124,P-2021-02-124-2-1,CONDUCTOR,FALLECIDO,FEMENINO,35,TRIMOTO CARGA
A-2021-02-127,P-2021-02-127-1-1,CONDUCTOR,ILESO,MASCULINO,37,REMOLCADOR
A-2021-02-127,P-2021-02-127-1-2,PEATÓN,FALLECIDO,MASCULINO,29,REMOLCADOR
A-2021-02-235,P-2021-02-235-1-1,CONDUCTOR,ILESO,MASCULINO,66,REMOLCADOR-SEMIREMOLQUE
A-2021-02-235,P-2021-02-235-2-1,CONDUCTOR,FALLECIDO,MASCULINO,21,MOTOCICLETA
A-2021-02-236,P-2021-02-236-1-1,CONDUCTOR,FALLECIDO,MASCULINO,32,MOTOCICLETA
A-2021-02-237,P-2021-02-237-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,20,MOTOCICLETA
A-2021-02-237,P-2021-02-237-1-2,PEATÓN,FALLECIDO,FEMENINO,25,MOTOCICLETA
A-2021-02-244,P-2021-02-244-1-1,CONDUCTOR,ILESO,MASCULINO,47,CAMIONETA RURAL
A-2021-02-244,P-2021-02-244-2-1,CONDUCTOR,FALLECIDO,MASCULINO,50,BICICLETA
A-2021-02-248,P-2021-02-248-1-1,CONDUCTOR,ILESO,MASCULINO,28,AUTOMÓVIL
A-2021-02-248,P-2021-02-248-2-1,CONDUCTOR,FALLECIDO,MASCULINO,69,AUTOMÓVIL
A-2021-02-249,P-2021-02-249-1-1,CONDUCTOR,ILESO,MASCULINO,57,CAMIÓN
A-2021-02-249,P-2021-02-249-1-2,PEATÓN,FALLECIDO,MASCULINO,56,CAMIÓN
A-2021-02-250,P-2021-02-250-1-1,CONDUCTOR,FALLECIDO,MASCULINO,22,MOTOCICLETA
A-2021-02-251,P-2021-02-251-1-1,CONDUCTOR,ILESO,MASCULINO,32,REMOLCADOR-SEMIREMOLQUE
A-2021-02-251,P-2021-02-251-2-1,CONDUCTOR,FALLECIDO,MASCULINO,61,MOTOCICLETA
A-2021-02-252,P-2021-02-252-1-1,CONDUCTOR,ILESO,MASCULINO,21,AUTOMÓVIL
A-2021-02-252,P-2021-02-252-2-1,CONDUCTOR,FALLECIDO,MASCULINO,50,BICICLETA
A-2021-02-253,P-2021-02-253-1-1,CONDUCTOR,ILESO,MASCULINO,26,BICICLETA
A-2021-02-253,P-2021-02-253-1-2,PEATÓN,FALLECIDO,FEMENINO,81,BICICLETA
A-2021-02-254,P-2021-02-254-1-1,CONDUCTOR,ILESO,MASCULINO,33,AUTOMÓVIL
A-2021-02-254,P-2021-02-254-2-1,CONDUCTOR,ILESO,MASCULINO,29,MOTOCICLETA
A-2021-02-254,P-2021-02-254-2-2,PASAJERO,FALLECIDO,MASCULINO,29,MOTOCICLETA
A-2021-02-255,P-2021-02-255-1-1,CONDUCTOR,NO SE CONOCE,MASCULINO,55,AUTOMÓVIL
A-2021-02-255,P-2021-02-255-1-2,PEATÓN,FALLECIDO,MASCULINO,34,AUTOMÓVIL
A-2021-02-256,P-2021-02-256-1-1,CONDUCTOR,ILESO,MASCULINO,23,AUTOMÓVIL
A-2021-02-256,P-2021-02-256-2-1,CONDUCTOR,FALLECIDO,MASCULINO,25,TRIMOTO PASAJERO
A-2021-02-256,P-2021-02-256-2-2,PASAJERO,LESIONADO,FEMENINO,20,TRIMOTO PASAJERO
A-2021-02-256,P-2021-02-256-2-3,PASAJERO,LESIONADO,FEMENINO,19,TRIMOTO PASAJERO
A-2021-02-257,P-2021-02-257-1-1,CONDUCTOR,ILESO,MASCULINO,30,ÓMNIBUS
A-2021-02-257,P-2021-02-257-1-2,PEATÓN,FALLECIDO,MASCULINO,41,ÓMNIBUS
A-2021-02-258,P-2021-02-258-1-1,CONDUCTOR,ILESO,MASCULINO,70,CAMIÓN
A-2021-02-258,P-2021-02-258-1-2,PEATÓN,FALLECIDO,MASCULINO,84,CAMIÓN
A-2021-02-259,P-2021-02-259-1-1,CONDUCTOR,FALLECIDO,MASCULINO,29,MOTOCICLETA
A-2021-02-260,P-2021-02-260-1-1,CONDUCTOR,ILESO,MASCULINO,38,ÓMNIBUS
