codigo_siniestro,codigo_persona,anio,fecha,hora,franja_horaria,provincia,distrito,tipo_persona,gravedad,lugar_defuncion,lugar_atencion_lesionado,sexo,edad,vehiculo,clase_siniestro,red_vial,tipo_via,zona,zonificacion,caracteristicas_via,superficie_calzada
A-2021-01-248,P-2021-01-248-1-1,2021,2021-01-01,05:45,MADRUGADA (00-05),LIMA,PACHACAMAC,CONDUCTOR,LESIONADO,,CENTRO DE SALUD PÚBLICO,MASCULINO,28,TRIMOTO PASAJERO,DESPISTE,URBANO,AVENIDA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2021-01-248,P-2021-01-248-1-2,2021,2021-01-01,05:45,MADRUGADA (00-05),LIMA,PACHACAMAC,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,25,TRIMOTO PASAJERO,DESPISTE,URBANO,AVENIDA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2021-01-248,P-2021-01-248-1-3,2021,2021-01-01,05:45,MADRUGADA (00-05),LIMA,PACHACAMAC,PASAJERO,LESIONADO,,CENTRO DE SALUD PÚBLICO,MASCULINO,0,TRIMOTO PASAJERO,DESPISTE,URBANO,AVENIDA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2021-01-248,P-2021-01-248-1-4,2021,2021-01-01,05:45,MADRUGADA (00-05),LIMA,PACHACAMAC,PASAJERO,LESIONADO,,CENTRO DE SALUD PÚBLICO,MASCULINO,64,TRIMOTO PASAJERO,DESPISTE,URBANO,AVENIDA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2021-01-254,P-2021-01-254-1-1,2021,2021-01-01,14:00,TARDE (12-17),LIMA,VILLA MARIA DEL TRIUNFO,CONDUCTOR,LESIONADO,,CENTRO DE SALUD PÚBLICO,MASCULINO,30,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2021-01-254,P-2021-01-254-1-2,2021,2021-01-01,14:00,TARDE (12-17),LIMA,VILLA MARIA DEL TRIUNFO,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,16,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2021-01-258,P-2021-01-258-1-1,2021,2021-01-03,00:35,MADRUGADA (00-05),LIMA,VILLA EL SALVADOR,CONDUCTOR FUGADO,NO SE CONOCE,,,MASCULINO,,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,NACIONAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2021-01-258,P-2021-01-258-1-2,2021,2021-01-03,00:35,MADRUGADA (00-05),LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,NACIONAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2021-01-260,P-2021-01-260-1-1,2021,2021-01-04,01:35,MADRUGADA (00-05),LIMA,ATE,CONDUCTOR,ILESO,,,MASCULINO,23,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2021-01-260,P-2021-01-260-1-2,2021,2021-01-04,01:35,MADRUGADA (00-05),LIMA,ATE,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,26,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2021-01-262,P-2021-01-262-1-1,2021,2021-01-06,20:40,NOCHE (18-23),LIMA,CHORRILLOS,CONDUCTOR,ILESO,,,MASCULINO,26,AUTOMÓVIL,CHOQUE,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2021-01-262,P-2021-01-262-1-2,2021,2021-01-06,20:40,NOCHE (18-23),LIMA,CHORRILLOS,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,19,AUTOMÓVIL,CHOQUE,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2021-01-262,P-2021-01-262-2-1,2021,2021-01-06,20:40,NOCHE (18-23),LIMA,CHORRILLOS,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,31,MOTOCICLETA,CHOQUE,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
