codigo_siniestro,fecha,anio,dia_semana,hora,hora_num,provincia,distrito,zona,tipo_via,clase_siniestro,causa_principal,cantidad_fallecidos,cantidad_lesionados,latitud,longitud
A-2021-01-248,2021-01-01,2021,VIERNES,05:45,5,LIMA,PACHACAMAC,URBANA,AVENIDA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,3,-12.2294,-76.859412
A-2021-01-254,2021-01-01,2021,VIERNES,14:00,14,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,1,-12.164406,-76.953426
A-2021-01-258,2021-01-03,2021,DOMINGO,00:35,0,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.225604,-76.971698
A-2021-01-260,2021-01-04,2021,LUNES,01:35,1,LIMA,ATE,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.02601,-76.919122
A-2021-01-262,2021-01-06,2021,MIERCOLES,20:40,20,LIMA,CHORRILLOS,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,2,0,-12.173039,-76.995706
A-2021-01-264,2021-01-09,2021,SABADO,10:00,10,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,1,0,-11.980617,-77.012747
A-2021-01-265,2021-01-11,2021,LUNES,09:20,9,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,0,-12.1622,-76.943612
A-2021-01-266,2021-01-14,2021,JUEVES,06:00,6,LIMA,SANTA ANITA,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.0436,-76.971412
A-2021-01-267,2021-01-14,2021,JUEVES,01:10,1,LIMA,LURIN,URBANA,OTRO,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.252695,-76.898016
A-2021-01-269,2021-01-16,2021,SABADO,18:30,18,LIMA,COMAS,URBANA,AVENIDA,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,1,-11.9575,-77.049211
A-2021-01-392,2021-01-16,2021,SABADO,19:45,19,CALLAO,LA PERLA,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,1,-12.064691,-77.115547
A-2021-01-129,2021-01-17,2021,DOMINGO,08:00,8,CALLAO,CALLAO,URBANA,CARRETERA,CAÍDA DE PASAJERO,IMPRUDENCIA DEL PEATÓN,1,0,-12.054372,-77.142617
A-2021-01-270,2021-01-19,2021,MARTES,09:30,9,LIMA,LURIGANCHO,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,4,-12.017421,-76.946914
A-2021-01-271,2021-01-23,2021,SABADO,13:00,13,LIMA,LOS OLIVOS,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.991702,-77.070611
A-2021-01-272,2021-01-23,2021,SABADO,17:35,17,LIMA,PUENTE PIEDRA,URBANA,CARRETERA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-11.897187,-77.067866
A-2021-01-195,2021-01-24,2021,DOMINGO,20:10,20,CALLAO,VENTANILLA,URBANA,CARRETERA,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.881892,-77.126265
A-2021-01-273,2021-01-25,2021,LUNES,08:00,8,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO FUGA,IMPRUDENCIA DEL PEATÓN,1,0,-11.981557,-77.096882
A-2021-01-274,2021-01-25,2021,LUNES,11:30,11,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,CHOQUE,NEGLIGENCIA DEL CONDUCTOR,1,1,-12.163841,-76.952571
A-2021-01-381,2021-01-26,2021,MARTES,06:50,6,LIMA,SAN MARTIN DE PORRES,URBANA,JIRÓN,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.018966,-77.053367
A-2021-01-282,2021-01-28,2021,JUEVES,05:00,5,LIMA,COMAS,RURAL,CARRETERA,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,1,1,-11.932369,-77.072179
A-2021-01-284,2021-01-28,2021,JUEVES,17:20,17,LIMA,CARABAYLLO,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.89,-77.026912
A-2021-01-288,2021-01-29,2021,VIERNES,10:14,10,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.029399,-77.010081
A-2021-01-356,2021-01-30,2021,SABADO,00:10,0,LIMA,LURIGANCHO,URBANA,AVENIDA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-11.987377,-76.897774
A-2021-01-391,2021-01-30,2021,SABADO,21:10,21,CALLAO,CALLAO,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,1,-12.033277,-77.100286
A-2021-02-248,2021-02-01,2021,LUNES,04:47,4,LIMA,SAN ISIDRO,URBANA,AVENIDA,CHOQUE,NEGLIGENCIA DEL CONDUCTOR,1,0,-12.09219,-77.032178
A-2021-02-251,2021-02-01,2021,LUNES,07:10,7,LIMA,COMAS,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.937626,-77.071262
A-2021-02-127,2021-02-08,2021,LUNES,15:40,15,LIMA,EL AGUSTINO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.029121,-76.99979
A-2021-02-124,2021-02-08,2021,LUNES,11:30,11,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.025888,-76.98613
A-2021-02-249,2021-02-09,2021,MARTES,20:00,20,LIMA,SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.156762,-76.983253
A-2021-02-250,2021-02-09,2021,MARTES,21:12,21,LIMA,LA VICTORIA,URBANA,AVENIDA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.076164,-77.02763
A-2021-02-254,2021-02-10,2021,MIERCOLES,13:00,13,LIMA,SURQUILLO,URBANA,AVENIDA,CHOQUE,IMPERICIA DEL CONDUCTOR,1,0,-12.117717,-77.008589
A-2021-02-252,2021-02-10,2021,MIERCOLES,15:30,15,LIMA,LURIN,URBANA,CARRETERA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.290936,-76.866325
A-2021-02-253,2021-02-10,2021,MIERCOLES,16:15,16,LIMA,SAN LUIS,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.081299,-76.994883
