codigo_siniestro,fecha,anio,hora,franja_horaria,distrito,zona,tipo_via,clase_siniestro,cantidad_fallecidos,cantidad_lesionados,n_vehiculos,vehiculo_fugado,soat_no_vigente
A-2021-01-248,2021-01-01,2021,05:45,MADRUGADA (00-05),PACHACAMAC,URBANA,AVENIDA,DESPISTE,1,3,1,NO,SI
A-2021-01-254,2021-01-01,2021,14:00,TARDE (12-17),VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,ATROPELLO,1,1,1,NO,NO
A-2021-01-258,2021-01-03,2021,00:35,MADRUGADA (00-05),VILLA EL SALVADOR,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2021-01-260,2021-01-04,2021,01:35,MADRUGADA (00-05),ATE,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2021-01-262,2021-01-06,2021,20:40,NOCHE (18-23),CHORRILLOS,URBANA,AVENIDA,CHOQUE,2,0,2,NO,NO
A-2021-01-264,2021-01-09,2021,10:00,MANANA (06-11),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,DESPISTE,1,0,1,NO,SI
A-2021-01-265,2021-01-11,2021,09:20,MANANA (06-11),VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2021-01-267,2021-01-14,2021,01:10,MADRUGADA (00-05),LURIN,URBANA,OTRO,VOLCADURA,1,0,2,NO,NO
A-2021-01-266,2021-01-14,2021,06:00,MANANA (06-11),SANTA ANITA,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2021-01-269,2021-01-16,2021,18:30,NOCHE (18-23),COMAS,URBANA,AVENIDA,DESPISTE,1,1,1,NO,SI
A-2021-01-392,2021-01-16,2021,19:45,NOCHE (18-23),LA PERLA,URBANA,AVENIDA,ATROPELLO,1,1,1,NO,NO
A-2021-01-129,2021-01-17,2021,08:00,MANANA (06-11),CALLAO,URBANA,CARRETERA,CAÍDA DE PASAJERO,1,0,1,NO,NO
A-2021-01-270,2021-01-19,2021,09:30,MANANA (06-11),LURIGANCHO,URBANA,AVENIDA,CHOQUE,1,4,2,NO,NO
A-2021-01-271,2021-01-23,2021,13:00,TARDE (12-17),LOS OLIVOS,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2021-01-272,2021-01-23,2021,17:35,TARDE (12-17),PUENTE PIEDRA,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2021-01-195,2021-01-24,2021,20:10,NOCHE (18-23),VENTANILLA,URBANA,CARRETERA,DESPISTE,1,0,2,NO,NO
A-2021-01-273,2021-01-25,2021,08:00,MANANA (06-11),SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2021-01-274,2021-01-25,2021,11:30,MANANA (06-11),VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,CHOQUE,1,1,2,NO,NO
A-2021-01-381,2021-01-26,2021,06:50,MANANA (06-11),SAN MARTIN DE PORRES,URBANA,JIRÓN,ATROPELLO,1,0,1,NO,NO
A-2021-01-282,2021-01-28,2021,05:00,MADRUGADA (00-05),COMAS,RURAL,CARRETERA,CHOQUE FUGA,1,1,2,SI,NO
A-2021-01-284,2021-01-28,2021,17:20,TARDE (12-17),CARABAYLLO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-01-288,2021-01-29,2021,10:14,MANANA (06-11),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-01-356,2021-01-30,2021,00:10,MADRUGADA (00-05),LURIGANCHO,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2021-01-391,2021-01-30,2021,21:10,NOCHE (18-23),CALLAO,URBANA,CARRETERA,CHOQUE,1,1,2,NO,NO
A-2021-02-248,2021-02-01,2021,04:47,MADRUGADA (00-05),SAN ISIDRO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-02-251,2021-02-01,2021,07:10,MANANA (06-11),COMAS,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-02-124,2021-02-08,2021,11:30,MANANA (06-11),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,SI
A-2021-02-127,2021-02-08,2021,15:40,TARDE (12-17),EL AGUSTINO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2021-02-249,2021-02-09,2021,20:00,NOCHE (18-23),SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2021-02-250,2021-02-09,2021,21:12,NOCHE (18-23),LA VICTORIA,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2021-02-254,2021-02-10,2021,13:00,TARDE (12-17),SURQUILLO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-02-252,2021-02-10,2021,15:30,TARDE (12-17),LURIN,URBANA,CARRETERA,DESPISTE,1,0,2,NO,NO
A-2021-02-253,2021-02-10,2021,16:15,TARDE (12-17),SAN LUIS,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2021-02-255,2021-02-12,2021,07:15,MANANA (06-11),SAN MARTIN DE PORRES,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2021-02-244,2021-02-12,2021,11:50,MANANA (06-11),CALLAO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,SI
A-2021-02-258,2021-02-13,2021,08:00,MANANA (06-11),EL AGUSTINO,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2021-02-256,2021-02-13,2021,17:20,TARDE (12-17),VILLA EL SALVADOR,URBANA,AVENIDA,CHOQUE,1,2,2,NO,SI
A-2021-02-259,2021-02-13,2021,18:50,NOCHE (18-23),MIRAFLORES,URBANA,CALLE,VOLCADURA,1,0,1,NO,NO
A-2021-02-257,2021-02-13,2021,20:40,NOCHE (18-23),CARABAYLLO,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,NO,NO
A-2021-02-261,2021-02-16,2021,08:00,MANANA (06-11),LIMA,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-02-260,2021-02-16,2021,18:30,NOCHE (18-23),LINCE,URBANA,AVENIDA,CHOQUE,1,0,2,NO,SI
A-2021-02-262,2021-02-17,2021,11:30,MANANA (06-11),RIMAC,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2021-02-264,2021-02-18,2021,15:25,TARDE (12-17),VILLA MARIA DEL TRIUNFO,RURAL,CALLE,CHOQUE CON OBJETO FIJO,1,3,1,NO,SI
A-2021-02-263,2021-02-18,2021,18:00,NOCHE (18-23),RIMAC,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2021-02-235,2021-02-19,2021,08:30,MANANA (06-11),CALLAO,URBANA,CARRETERA,CHOQUE,1,0,2,NO,NO
A-2021-02-265,2021-02-19,2021,20:20,NOCHE (18-23),LIMA,URBANA,AVENIDA,ATROPELLO,2,0,1,NO,SI
A-2021-02-237,2021-02-21,2021,21:40,NOCHE (18-23),MAGDALENA DEL MAR,URBANA,OTRO,CHOQUE CON OBJETO FIJO,1,0,1,NO,NO
A-2021-02-266,2021-02-22,2021,07:30,MANANA (06-11),INDEPENDENCIA,URBANA,CARRETERA,VOLCADURA,1,0,1,NO,NO
A-2021-02-236,2021-02-23,2021,17:00,TARDE (12-17),CALLAO,URBANA,CARRETERA,DESPISTE,1,0,1,NO,NO
A-2021-02-267,2021-02-23,2021,21:00,NOCHE (18-23),SANTA ANITA,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2021-02-268,2021-02-24,2021,08:30,MANANA (06-11),RIMAC,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2021-02-269,2021-02-26,2021,07:30,MANANA (06-11),SAN JUAN DE MIRAFLORES,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2021-02-270,2021-02-27,2021,12:30,TARDE (12-17),EL AGUSTINO,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2021-02-271,2021-02-27,2021,22:30,NOCHE (18-23),CARABAYLLO,URBANA,JIRÓN,DESPISTE,1,0,1,NO,SI
A-2021-03-69,2021-03-01,2021,08:00,MANANA (06-11),INDEPENDENCIA,URBANA,AVENIDA,CAÍDA DE PASAJERO,1,0,1,NO,NO
A-2021-03-170,2021-03-03,2021,18:00,NOCHE (18-23),SAN JUAN DE LURIGANCHO,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,SI
A-2021-03-171,2021-03-04,2021,20:40,NOCHE (18-23),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,VOLCADURA,1,0,1,NO,NO
A-2021-03-175,2021-03-05,2021,00:30,MADRUGADA (00-05),SAN MARTIN DE PORRES,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
