"codigo_osinerg","razon_social","actividad","departamento","provincia","distrito","direccion","fecha_reporte"
"100010","ECOX S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","SAN MARTIN","TOCACHE","TOCACHE","JR. MARISCAL RAMON CASTILLA N° 671 INTERSECCION JR. FREDY ALIAGA S/N","2026-08-08"
"100012","SERVICENTRO 777 S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","CARABAYLLO","AV. LAS LOMAS DE CARABAYLLO (VÍA PERIURBANA TRAMO I-C), MZ. A, LOTE 01 - ASOCIACIÓN AGROPECUARIA LOS PALOMARES","2026-08-07"
"100048","GE INVERSIONES EIRL","GASOCENTROS DE GLP","LIMA","LIMA","VILLA EL SALVADOR","AV. 1 DE MAYO MZ. E LT 32-33 1ER SECTOR COOP. VIV. VIRGEN DE COCHARCAS","2026-08-08"
"100116","ESTACIÓN DE SERVICIOS J & K SANTIAGO S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","UCAYALI","PADRE ABAD","PADRE ABAD","PARCELA 7B DE LA PARCELACION MARIELA II ETAPA","2026-08-09"
"100129","GRIFO PARIAHUANCA","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","AYACUCHO","CANGALLO","LOS MOROCHUCOS","CARRETERA AYACUCHO VILCASHUAMAN-CANGALLO KM 53","2026-08-04"
"100144","EMPRESA DE TRANSPORTES IMPERIAL NUEVO IMPERIAL LA FLORIDA Nº 06 S.A.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","CAÑETE","NUEVO IMPERIAL","LOTIZACION EL CONDE, LOTE 1, PARCELA P-87-1","2026-08-08"
"100155","COESTI S.A","EE.SS con GLP y GNV","LIMA","LIMA","LA VICTORIA","AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA","2026-08-08"
"100157","GRIFO Y SERVICIOS MULTIPLES ALEXSANDRA S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","PASCO","PASCO","SIMON BOLIVAR","AV. PROGRESO S/N A UNA CUADRA DEL PALACIO MUNICIPAL","2026-08-06"
"100232","ESTACION DE SERVICIOS PACHACAMAC S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","PACHACAMAC","AV. PAUL POBLET, MZ. ""C"" SUB LOTE 1-A, HUERTO DE PACHACAMAC","2026-08-08"
"100237","COMBUSTIBLES MAYTA SRL","ESTACIÓN DE SERVICIOS / GRIFOS","UCAYALI","PADRE ABAD","ALEXANDER VON HUMBOLD","CARRETERA FEDERICO BASADRE KM. 86.200 - JUNTA VECINAL SAN FERNANDO","2026-08-08"
