NRO_REGISTRO,RUC,RAZON,DEPARTAMENTO,PROVINCIA,DISTRITO,DIRECCION,FCHA_REGISTRO,COD_PRODUCTO,PRODUCTO,PRECIO_VENTA,UNIDAD,CODIGO_OSINERG,ACTIVIDAD,COD_ACTIVIDAD,MARCA
0047-DMAY-15-2005,20100128218,PETROLEOS DEL PERU PETROPERU SA,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,AV ANDRES AVELINO CACERES 1082,2026-08-04 08:55:19,124,GASOLINA REGULAR,18.61,Galones,42298,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
0047-DMAY-15-2005,20100128218,PETROLEOS DEL PERU PETROPERU SA,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,AV ANDRES AVELINO CACERES 1082,2026-08-04 08:55:19,125,GASOLINA PREMIUM,18.77,Galones,42298,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
0047-DMAY-15-2005,20100128218,PETROLEOS DEL PERU PETROPERU SA,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,AV ANDRES AVELINO CACERES 1082,2026-08-04 08:55:19,40,Diesel B5 S-50 UV,20.99,Galones,42298,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
0047-DMAY-15-2005,20100128218,PETROLEOS DEL PERU PETROPERU SA,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,AV ANDRES AVELINO CACERES 1082,2026-08-04 08:55:19,45,Diesel B5 S-50,21.83,Galones,42298,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
104273-048-150723,20553167672,NUMAY S.A.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-08-04 00:06:57,126,GASOHOL REGULAR,18.52,Galones,104273,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
104273-048-150723,20553167672,NUMAY S.A.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-08-04 00:06:57,127,GASOHOL PREMIUM,18.93,Galones,104273,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
104273-048-150723,20553167672,NUMAY S.A.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-08-04 00:06:57,40,Diesel B5 S-50 UV,23.63,Galones,104273,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
104273-048-150723,20553167672,NUMAY S.A.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-08-04 00:06:57,45,Diesel B5 S-50,25.2,Galones,104273,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
104323-048-110723,20553167672,NUMAY S.A.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM. 26.5,2026-08-04 07:46:13,126,GASOHOL REGULAR,18.52,Galones,104323,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
104323-048-110723,20553167672,NUMAY S.A.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM. 26.5,2026-08-04 07:46:13,127,GASOHOL PREMIUM,18.93,Galones,104323,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
