CODIGO_OSINERG,DIRECCION,DISTRITO,direccion_consultada,lat,lon,pase,osm_class,osm_type,display_name
100012,"AV. LAS LOMAS DE CARABAYLLO (VÍA PERIURBANA TRAMO I-C), MZ. A, LOTE 01 - ASOCIACIÓN AGROPECUARIA LOS PALOMARES",CARABAYLLO,"AV. LAS LOMAS DE CARABAYLLO, CARABAYLLO, LIMA, PERU",-11.880961,-77.026379,3,highway,residential,"Calle Las Palmeras, Asentamiento Humano Lomas de Carabayllo, Santo Domingo, Carabayllo, Lima, Lima Metropolitana, Lima, 15318, Perú"
100155,"AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA ",LA VICTORIA,"AV. NICOLAS ARRIOLA 710, LA VICTORIA, LIMA, PERU",-12.089836,-77.022164,1,highway,tertiary,"Calle Manuel Méndez, Urbanización Santa Catalina, La Victoria, Lima, Lima Metropolitana, Lima, 15033, Perú"
100232,"AV. PAUL POBLET, MZ. ""C"" SUB LOTE 1-A, HUERTO DE PACHACAMAC",PACHACAMAC,"AV. PAUL POBLET, PACHACAMAC, LIMA, PERU",-12.177944,-76.863256,3,highway,primary,"Avenida Paul Poblet, Manchay Bajo, Picapiedra, Pachacámac, Lima, Lima Metropolitana, Lima, 15822, Perú"
101467,"CALLE TACNA ESQUINA CON CALLE ABANCAY MZ. 77, LOTES 1 Y 2, AA.HH. SANTA ROSA",PUENTE PIEDRA,"CALLE TACNA ESQUINA CON CALLE ABANCAY MZ. 77, LOTES 1 Y 2, PUENTE PIEDRA, LIMA, PERU",,,0,,,
101850,"SECTOR 1 GRUPO 25A - MZ. I, LT. 1",VILLA EL SALVADOR,"SECTOR 1 GRUPO 25A - MZ. I, LT. 1, VILLA EL SALVADOR, LIMA, PERU",,,0,,,
104256,"AV. LAS TORRES MZ. D LOTE 14, URB. ALAMEDA DE HUACHIPA",LURIGANCHO,"AV. LAS TORRES, LURIGANCHO, LIMA, PERU",-12.014101,-76.900994,3,highway,trunk,"Avenida Las Torres, Lurigancho, Lima, Lima Metropolitana, Lima, 15487, Perú"
104367,"LOTE 2B, LA RINCONADA PAMPLONA ALTA",SAN JUAN DE MIRAFLORES,"LOTE 2B, LA RINCONADA PAMPLONA ALTA, SAN JUAN DE MIRAFLORES, LIMA, PERU",,,0,,,
104494,"AV. NICOLAS AYLLON Nº 3620, CARRETERA CENTRAL ESQUINA CON AV. ATE",ATE,"AV. NICOLAS AYLLON 3620, ATE, LIMA, PERU",-12.064047,-76.9891,2,highway,primary,"Avenida Nicolás de Ayllón, Valdiviezo, Ate, Lima, Lima Metropolitana, Lima, 15019, Perú"
104953,"AV. LIMA N° 2000, P.J. VILLA POETA JOSE GALVEZ PARCELA B MZ. 159, LOTE 4",VILLA MARIA DEL TRIUNFO,"AV. LIMA 2000, VILLA MARIA DEL TRIUNFO, LIMA, PERU",-12.214392,-76.906603,2,highway,secondary,"Avenida Lima, José Gálvez Barrenechea, Villa María del Triunfo, Lima, Lima Metropolitana, Lima, 15822, Perú"
105356," AV. 200 ESQUINA CON CALLE S/N, MZ. A, LOTE 21 - PARQUE INDUSTRIAL PACHACUTEC",VENTANILLA,"AV. 200 ESQUINA CON CALLE, MZ. A, LOTE 21 - PARQUE INDUSTRIAL PACHACUTEC, VENTANILLA, LIMA, PERU",,,0,,,
105599,"AV. CARAPONGO Y CALLE LOS ROBLES, MZ. D, LOTE 1  URB. POPULAR NUEVO HORIZONTE CARAPONGO",LURIGANCHO,"AV. CARAPONGO, LURIGANCHO, LIMA, PERU",-12.007436,-76.886948,3,highway,tertiary,"Avenida Carapongo, Carapongo, Lurigancho, Lima, Lima Metropolitana, Lima, 15487, Perú"
105730,AV. NESTOR GAMBETA KM. 6.5,VENTANILLA,"AV. NESTOR GAMBETA KM. 6.5, VENTANILLA, LIMA, PERU",,,0,,,
106020,"ESQUINA AV. 200 CON CALLE 32 MZ K, LOTE 1 Y 26, ASENTAMIENTO HUMANO JAIME JOSHIYAMA.",CALLAO,"ESQUINA AV. 200 CON CALLE 32 MZ K, LOTE 1 Y 26, CALLAO, LIMA, PERU",,,0,,,
106767,AV. VENEZUELA ESQUINA CON AV. RIVA AGUERO,SAN MIGUEL,"AV. VENEZUELA ESQUINA CON AV. RIVA AGUERO, SAN MIGUEL, LIMA, PERU",,,0,,,
107193,AV. MEXICO NRO. 295 ESQUINA CON AV. MANCO CAPAC,LA VICTORIA,"AV. MEXICO 295, LA VICTORIA, LIMA, PERU",-12.076707,-77.028203,2,highway,primary,"Avenida México, Urbanización Balconcillo, La Victoria, Lima, Lima Metropolitana, Lima, 15046, Perú"
107381,"AV. 5 DE AGOSTO CON CALLE LOS ANGELES MZ. A LOTES 1, 2 Y 23 DEL PROGRAMA DE VIVIENDA Y COMERCIO SAN VALENTIN DE HUACHIPA",LURIGANCHO,"AV. 5 DE AGOSTO CON CALLE LOS ANGELES MZ. A LOTES 1, 2 Y 23 DEL, LURIGANCHO, LIMA, PERU",,,0,,,
107602," LOTES 7 Y 8 DE PUNCHAUCA, CAUDIVILLA Y ANEXO CONCON Y HUACOY ( AV. TUPAC AMARU KM. 22.50)",CARABAYLLO,"LOTES 7 Y 8 DE PUNCHAUCA, CAUDIVILLA Y ANEXO CONCON Y HUACOY, CARABAYLLO, LIMA, PERU",,,0,,,
