visitId;fullVisitorId;date;visitStartTime;channelGrouping;source;medium;deviceCategory;browser;operatingSystem;isMobile;continent;country;city;transactionRevenue;sessionDuration;pageViews;visitNumber;isReturningVisitor;firstVisitDate
3019408;5708326877;20231223;1703330561;Email;youtube;(none);mobile;Opera;Android;False;Oceania;Brazil;New York;0;986;1;2;True;20231024
1581146;3698283367;20230524;1684959439;Direct;youtube;referral;desktop;Edge;Android;True;Oceania;Germany;New York;0;261;2;2;True;20230210
8969089;8302424417;20230308;1678276307;Email;direct;cpc;mobile;Edge;Macintosh;False;Europe;Brazil;New York;0;1102;4;5;True;20230210
4964896;6433287352;20231101;1698801820;Email;bing;organic;desktop;Safari;Linux;True;Oceania;USA;Madrid;0;97;1;3;True;20230208
8905857;8610834162;20230904;1693829893;Referral;google;email;desktop;Chrome;Linux;True;Asia;Australia;Berlin;0;320;10;2;True;20230504
5271770;6530089267;20230623;1687528524;Social;bing;organic;desktop;Safari;Linux;False;Oceania;Australia;São Paulo;7438;621;10;3;True;20230523
9524545;3787640861;20230611;1686504742;Email;bing;referral;mobile;Firefox;Linux;False;Americas;USA;Madrid;0;643;1;4;True;20230528
6902975;4555352748;20230823;1692795321;Direct;newsletter;organic;desktop;Opera;Windows;True;Asia;Australia;Mumbai;0;1078;1;5;True;20230807
2676208;5324087821;20230802;1690990856;Direct;facebook;email;desktop;Safari;Windows;True;Oceania;Spain;São Paulo;9766;972;1;3;True;20230616
6403880;3132901566;20230429;1682786043;Referral;bing;email;mobile;Firefox;Windows;False;Europe;Spain;Berlin;0;597;6;5;True;20230302
4904953;1394346115;20230226;1677400539;Referral;newsletter;organic;desktop;Chrome;Macintosh;True;Oceania;Germany;Berlin;0;26;5;5;True;20230203
9016295;1458089673;20231113;1699872684;Social;bing;cpc;desktop;Opera;Windows;True;Americas;Spain;São Paulo;0;94;3;3;True;20221225
9196754;5762156296;20230904;1693796336;Paid Search;youtube;organic;tablet;Chrome;Macintosh;True;Americas;Germany;Sydney;0;58;1;2;True;20230814
5718819;1464459327;20231013;1697210138;Email;bing;email;desktop;Chrome;Linux;True;Americas;USA;São Paulo;0;362;10;4;True;20230429
3533494;2798540994;20231012;1697084769;Social;youtube;organic;desktop;Safari;Windows;True;Americas;India;Berlin;0;58;9;2;True;20230307
1266759;7925250885;20230704;1688509235;Social;bing;referral;mobile;Opera;iOS;True;Oceania;Spain;Berlin;4357;1097;7;3;True;20230401
